task_name,ecr_image_uri,image_digest,image_ref_pinned,in_ecr,pushed_at,size_mb,language,category,repo,pass_at_8
a-h-templ-1058,717626256484.dkr.ecr.us-east-1.amazonaws.com/code-data-swe-bench-reflection:a-h-templ-1058,sha256:3c55262fb8a3ec68744c60e581ff188c651ee454f012e831eb7b34896fcfe937,717626256484.dkr.ecr.us-east-1.amazonaws.com/code-data-swe-bench-reflection@sha256:3c55262fb8a3ec68744c60e581ff188c651ee454f012e831eb7b34896fcfe937,yes,2026-07-01 15:56:04.642000+00:00,408.9,go,Software Engineering,a-h/templ,0/8
a-h-templ-1124,717626256484.dkr.ecr.us-east-1.amazonaws.com/code-data-swe-bench-reflection:a-h-templ-1124,sha256:008af59148045b0cf52c198cc942a9e5030905d4e66de25c3cbee2dab9e25439,717626256484.dkr.ecr.us-east-1.amazonaws.com/code-data-swe-bench-reflection@sha256:008af59148045b0cf52c198cc942a9e5030905d4e66de25c3cbee2dab9e25439,yes,2026-07-01 15:56:22.122000+00:00,373.6,go,Software Engineering,a-h/templ,0/8
a-h-templ-461,717626256484.dkr.ecr.us-east-1.amazonaws.com/code-data-swe-bench-reflection:a-h-templ-461,sha256:ea921334509a46bc956fe6e1277bb51605625c460d99329a94da33448a35707d,717626256484.dkr.ecr.us-east-1.amazonaws.com/code-data-swe-bench-reflection@sha256:ea921334509a46bc956fe6e1277bb51605625c460d99329a94da33448a35707d,yes,2026-07-01 15:58:11.093000+00:00,1163.7,go,Software Engineering,a-h/templ,0/8
aallam-openai-kotlin-334,717626256484.dkr.ecr.us-east-1.amazonaws.com/code-data-swe-bench-reflection:aallam-openai-kotlin-334,sha256:096aa620be8d36803fb26848fb619c436744bc5af01812708ac5b15d4a72b856,717626256484.dkr.ecr.us-east-1.amazonaws.com/code-data-swe-bench-reflection@sha256:096aa620be8d36803fb26848fb619c436744bc5af01812708ac5b15d4a72b856,yes,2026-07-01 16:00:54.358000+00:00,1209.4,kotlin,Software Engineering,aallam/openai-kotlin,0/8
academysoftwarefoundation-opencue-1680,717626256484.dkr.ecr.us-east-1.amazonaws.com/code-data-swe-bench-reflection:academysoftwarefoundation-opencue-1680,sha256:cc7be94064cbfa774a29e9f56645b2151e40ded72c8bad56f1785649eeb1ac57,717626256484.dkr.ecr.us-east-1.amazonaws.com/code-data-swe-bench-reflection@sha256:cc7be94064cbfa774a29e9f56645b2151e40ded72c8bad56f1785649eeb1ac57,yes,2026-07-01 12:46:42.963000+00:00,493.6,python,Software Engineering,academysoftwarefoundation/opencue,1/8
accesskit-accesskit-581,717626256484.dkr.ecr.us-east-1.amazonaws.com/code-data-swe-bench-reflection:accesskit-accesskit-581,sha256:0869b4c77843f10aee8316d2b231e2e6c6a28558ae562f65cf780f63ff58e7d0,717626256484.dkr.ecr.us-east-1.amazonaws.com/code-data-swe-bench-reflection@sha256:0869b4c77843f10aee8316d2b231e2e6c6a28558ae562f65cf780f63ff58e7d0,yes,2026-07-01 15:59:40.639000+00:00,655.3,rust,Software Engineering,accesskit/accesskit,0/8
activemerchant-active_merchant-5099,717626256484.dkr.ecr.us-east-1.amazonaws.com/code-data-swe-bench-reflection:activemerchant-active_merchant-5099,sha256:8c323ccf3cf7c21601fe5e01d2916a2fc3a20a83609816ea60c14698c097430e,717626256484.dkr.ecr.us-east-1.amazonaws.com/code-data-swe-bench-reflection@sha256:8c323ccf3cf7c21601fe5e01d2916a2fc3a20a83609816ea60c14698c097430e,yes,2026-07-01 15:53:59.349000+00:00,270.0,ruby,Software Engineering,activemerchant/active_merchant,4/8
adobe-aem-cif-guides-venia-237,717626256484.dkr.ecr.us-east-1.amazonaws.com/code-data-swe-bench-reflection:adobe-aem-cif-guides-venia-237,sha256:489f0b78b9bec3aab783baf854ad77b00e1e1dc0b062541c435103c9c0faf870,717626256484.dkr.ecr.us-east-1.amazonaws.com/code-data-swe-bench-reflection@sha256:489f0b78b9bec3aab783baf854ad77b00e1e1dc0b062541c435103c9c0faf870,yes,2026-07-01 12:43:21.277000+00:00,508.9,javascript,Software Engineering,adobe/aem-cif-guides-venia,0/8
adobe-react-spectrum-3055,717626256484.dkr.ecr.us-east-1.amazonaws.com/code-data-swe-bench-reflection:adobe-react-spectrum-3055,sha256:6b15d9db1a4a956d6a16ccfc853e1b092ff7f7887d6e25006154906918d78ede,717626256484.dkr.ecr.us-east-1.amazonaws.com/code-data-swe-bench-reflection@sha256:6b15d9db1a4a956d6a16ccfc853e1b092ff7f7887d6e25006154906918d78ede,yes,2026-07-01 12:43:57.437000+00:00,872.7,javascript,Debugging and Repair,adobe/react-spectrum,0/8
agola-io-agola-232,717626256484.dkr.ecr.us-east-1.amazonaws.com/code-data-swe-bench-reflection:agola-io-agola-232,sha256:3e606975dbed7f253ec79c6538fac93725837ce57224e20d32b6967acf7edcd8,717626256484.dkr.ecr.us-east-1.amazonaws.com/code-data-swe-bench-reflection@sha256:3e606975dbed7f253ec79c6538fac93725837ce57224e20d32b6967acf7edcd8,yes,2026-07-01 15:58:58.203000+00:00,942.4,go,Software Engineering,agola-io/agola,0/8
